city,city_ascii,lat,lng,admin_name,population,country_id2
Huanghuajing,Huanghuajing,24.1989,112.9104,Guangdong,28282,7
Lumberton,Lumberton,34.6312,-79.0186,North Carolina,28279,10
Guamal,Guamal,9.1442,-74.2236,Magdalena,28277,26
Herentals,Herentals,51.1767,4.8364,Flanders,28272,78
Libacao,Libacao,11.4833,122.3,Aklan,28272,4
Alga,Alga,49.9032,57.335,AqtÃ¶be,28267,72
Perry Hall,Perry Hall,39.4067,-76.4781,Maryland,28266,10
Grigny,Grigny,48.6562,2.3849,ÃŽle-de-France,28265,22
Adrogue,Adrogue,-34.8,-58.3833,Buenos Aires,28265,14
Kolambugan,Kolambugan,8.1144,123.8971,Lanao del Norte,28265,4
Carbonia,Carbonia,39.1668,8.522,Sardegna,28265,52
Las Rosas,Las Rosas,16.3556,-92.3672,Chiapas,28261,8
SafÄjÄ,Safaja,26.7517,33.9344,Al Baá¸©r al Aá¸©mar,28261,9
Gusev,Gusev,54.5922,22.1997,Kaliningradskaya Oblastâ€™,28257,11
Aberdeen,Aberdeen,45.4646,-98.468,South Dakota,28257,10
Bad Neuenahr-Ahrweiler,Bad Neuenahr-Ahrweiler,50.5447,7.1133,Rhineland-Palatinate,28251,44
Otjiwarongo,Otjiwarongo,-20.4642,16.6528,Otjozondjupa,28249,144
Qiman al â€˜ArÅ«s,Qiman al `Arus,29.3005,31.1683,BanÄ« Suwayf,28246,9
Benicia,Benicia,38.0725,-122.1525,California,28240,10
Ans,Ans,50.6625,5.52,Wallonia,28238,78
Oakleaf Plantation,Oakleaf Plantation,30.1689,-81.8337,Florida,28237,10
Jacksonville,Jacksonville,34.8807,-92.1302,Arkansas,28235,10
Bardaskan,Bardaskan,35.2631,57.9722,KhorÄsÄn-e Raáº•avÄ«,28233,20
Winchester,Winchester,36.1368,-115.1299,Nevada,28231,10
Fresnes,Fresnes,48.755,2.3221,ÃŽle-de-France,28230,22
Rockledge,Rockledge,28.3201,-80.732,Florida,28227,10
Santa Cruz CabrÃ¡lia,Santa Cruz Cabralia,-16.2778,-39.025,Bahia,28226,5
Yemanzhelinsk,Yemanzhelinsk,54.75,61.3167,Chelyabinskaya Oblastâ€™,28216,11
Saugus,Saugus,42.4681,-71.0145,Massachusetts,28215,10
Novi Ligure,Novi Ligure,44.7592,8.7856,Piedmont,28210,52
Kotagiri,Kotagiri,11.4167,76.8667,Tamil NÄdu,28207,3
Henderson,Henderson,37.8397,-87.5798,Kentucky,28207,10
Khust,Khust,48.1814,23.2978,Zakarpatsâ€™ka Oblastâ€™,28206,49
Chiredzi,Chiredzi,-21.0496,31.66,Masvingo,28205,64
Zacoalco de Torres,Zacoalco de Torres,20.2333,-103.5833,Jalisco,28205,8
Navahrudak,Navahrudak,53.5833,25.8167,Hrodzyenskaya Voblastsâ€™,28199,69
Popondetta,Popondetta,-8.7656,148.2347,Northern,28198,145
Oktyabrsk,Oktyabrsk,49.4731,57.4449,AqtÃ¶be,28196,72
Heshancun,Heshancun,30.6344,120.3637,Zhejiang,28191,7
Centre Wellington,Centre Wellington,43.7,-80.3667,Ontario,28191,36
Grimma,Grimma,51.2386,12.7253,Saxony,28180,44
OuÃ©sso,Ouesso,1.6167,16.05,Sangha,28179,76
GyÃ¶ngyÃ¶s,Gyongyos,47.7833,19.9333,Heves,28179,80
Monterey,Monterey,36.5922,-121.8807,California,28178,10
